src_id,dst_id,weight
306,293,0.3846
306,184,0.0513
306,499,0.1282
306,28,0.1795
306,4,0.1026
306,128,0.0513
306,377,0.2821
306,244,0.1538
306,316,0.0513
306,17,0.0256
306,271,0.2051
306,126,0.0513
306,66,0.0513
306,441,0.359
306,186,0.0513
365,0,0.2564
365,107,0.0769
365,397,0.0513
365,14,0.1538
365,7,0.1026
365,226,0.0513
365,48,0.0513
365,8,0.0513
365,46,0.0769
365,6,0.2564
365,217,0.0769
365,116,0.1026
365,59,0.0513
365,288,0.0513
365,1,0.1538
365,139,0.0769
365,42,0.1795
365,133,0.0513
365,68,0.0513
365,45,0.0513
365,109,0.0513
465,293,0.0513
465,151,0.0513
465,103,0.0513
465,4,0.1538
465,377,0.0513
465,5,0.0513
465,3,0.0513
465,271,0.0513
369,9,0.0513
369,238,0.1026
369,124,0.0513
369,166,0.0513
369,4,0.1538
369,54,0.0513
369,62,0.0513
369,175,0.0513
369,5,0.0513
369,213,0.0513
369,257,0.0513
369,20,0.0513
369,3,0.2564
369,153,0.0513
369,29,0.1026
369,202,0.0513
369,84,0.1026
369,164,0.0513
369,297,0.1538
293,151,0.0513
293,9,0.0513
293,247,0.0513
293,103,0.0513
293,128,0.0256
293,377,0.0513
293,244,0.1538
293,18,0.0513
293,22,0.0256
293,5,0.0513
293,17,0.0513
293,8,0.0513
293,91,0.0513
293,3,0.1026
293,57,0.0513
293,271,0.2308
293,23,0.0513
293,126,0.0513
293,441,0.0513
135,9,0.0513
135,12,0.1538
135,417,0.0769
135,208,0.0513
135,124,0.3077
135,254,0.1538
135,185,0.0513
135,311,0.0513
135,166,0.1026
135,28,0.0256
135,268,0.0513
135,122,0.0513
135,196,0.0513
135,62,0.1026
135,34,0.1026
135,134,0.0513
135,240,0.0513
135,175,0.3077
135,5,0.1026
135,176,0.1538
135,169,0.2564
135,222,0.1026
135,90,0.1026
135,328,0.0513
135,213,0.1538
135,381,0.1026
135,20,0.4615
135,99,0.1282
135,278,0.1026
135,153,0.1538
135,234,0.0513
135,23,0.1538
135,29,0.359
135,16,0.1026
135,202,0.2051
135,392,0.0513
135,430,0.1026
135,421,0.1026
135,480,0.0513
135,87,0.1538
135,114,0.1026
135,260,0.0513
135,203,0.0513
135,426,0.0513
135,445,0.0513
135,61,0.0513
135,30,0.0513
135,47,0.1026
246,9,0.1538
246,56,0.0513
246,67,0.0513
246,127,0.1026
246,124,0.0513
246,451,0.0256
246,311,0.0513
246,28,0.0513
246,178,0.1026
246,4,0.1026
246,122,0.0513
246,54,0.0513
246,434,0.0513
246,62,0.0513
246,34,0.1026
246,298,0.1026
246,5,0.0513
246,222,0.0513
246,90,0.1026
246,92,0.0513
246,17,0.2051
246,20,0.1026
246,234,0.0513
246,112,0.0513
246,29,0.0513
246,16,0.1026
